cid,corpname,corpurl,address,category,PR,web,gyoshu,jigyou,torikumi
57,株式会社エスワイシー,company_info.html?id=61,横浜市磯子区栗木2-25-14,建設,,http://www.syc-yokohama.jp,建設,建設業,
58,株式会社江戸清,company_info.html?id=251,横浜市金沢区幸浦2-1-9,製造,,http://www.edosei.jp,製造,食肉の加工及び販売 各種食料品の卸売及び小売 各種食料品の輸入及び輸出 調理食品・惣菜類の製造及び販売 飲食事業 酒類の販売,
59,NECネッツエスアイ株式会社,company_info.html?id=367,東京都港区芝浦3-9-14,情報通信,,http://www.nesic.co.jp,情報通信,当社は、1953年に電気通信工事会社として創業して以降、時代・技術の変化とともに事業領域を拡大してきました。現在では、企業、通信事業者、官公庁・社会インフラ事業者等幅広いお客さまに対し、さまざまな機器やソフトウェア、ネットワーク、サービス、さらには生まれたての最先端/ベンチャー技術までを組み合わせ、コミュニケーションに関わるさまざまなシステム、サービスを、利用者に最適の形に構築するとともに、運用・監視、保守、アウトソーシング等の各種サービスまで総合的に提供しています。 ・デジタルソリューション事業 ・,
60,エヌ・ケイ・テクノ株式会社,company_info.html?id=189,横浜市神奈川区鶴屋町3-35-1,建設,綱領  社業に精通し     誠を尽くして     社会の発展に奉仕せん 社是  誠心誠意 社訓  基本を正しく     プロになろう     健康に注意しよう 品質方針  わたしたちは、顧客の要望を満足させるために 空気と水で人にやさしい環境を提供し 継続的なシステム運営改善をお約束する,https://www.nk-t.co.jp/,建設,省エネ設備 設計・施工・サービス ■空気調和設備 ■クリーンルーム設備 ■電気・計装設備 ■防災・消火設備 ■排気・排煙設備 ■給排水・衛生設備 ■冷媒回収処理,■エネルギー管理士によるエネルギー使用合理化事業に伴う、省エネ調査・診断 ■補助金を利用した設備の省エネ更新事業 ■空調機遠隔監視保守エアネット事業 ■各種施設保守・点検・サービス事業
61,株式会社荏原製作所  神奈川支店,company_info.html?id=452,横浜市港北区新横浜1-9-1,製造,,http://www.ebara.co.jp,製造,荏原グループは、ポンプやコンプレッサなどの回転機械を中核とした風水力事業、都市ごみ焼却施設をはじめとする環境プラント事業、半導体製造に関わる機器・装置を製造する精密・電子事業の3つの事業の集合体で運営を行っており、「水と空気と環境の分野で、優れた技術と最良のサービスを提供することにより、広く社会に貢献する」という企業理念のもと、世界各地の社会・産業インフラを支える製品・サービスを提供しています。,
62,株式会社荏原精密,company_info.html?id=279,横浜市港北区箕輪町2-19-6,製造,当社は、横浜で精密板金加工、切削加工事業を行っております。通常の板金加工は勿論、金型製作、プレス加工のノウハウを生かした絞り加工も得意としております。営業マンの柔軟な対応、納期、品質の管理体制の徹底など「取引して良かった」とお客様に感じてもらえるよう日々努力をしております。今後切削加工も強化し、「総合金属加工業」を目指しております。ISO9001（品質）14001（環境）、よこはまグッドバランス賞,https://www.ebaraseimitsu.co.jp/,製造,金属加工業（精密プレス部品、精密板金、絞り加工部品、切削部品、試作部品等の加工）,・健康診断項目の充実（全額会社負担）によるスタッフの健康管理推進 ・女性特有疾病早期発見のための検診（全額会社負担） ・パート職の正社員および短時間正社員転換制度 ・資格取得支援、教育支援制度の充実（全額会社負担） ・人事評価制度の運用 ・電力等の使用資源の削減による環境リスクの低減
63,MRテクノス株式会社,company_info.html?id=190,横浜市旭区本宿町54-4,建設,,http://www.mr-tech.co.jp/,建設,橋梁およびコンクリート構造物の補修・補強工事全般を行う建設業の会社です。,
64,有限会社エムテックグリーン,company_info.html?id=192,横浜市港南区丸山台2-26-15,造園,,http://www.mtgreen.co.jp,造園,造園土木・設計施工・生態調査・樹木診断,
65,エルゴテック株式会社 ,company_info.html?id=32,横浜市西区みなとみらい3-6-3 MMパークビル,建設,,http://www2.ergotech.co.jp,建設,空気調和、給排水、地域冷暖房、産業空調、防災等の企画・設計・施工・メンテナンス業務、環境対策、生産性向上商品取扱い,
66,株式会社エルテック,company_info.html?id=368,横浜市港北区新横浜3-1-4 プラスタリアビル601,製造,社内外とも人の繋がりを大切にし、 「ありがとう」と言っていただける仕事を通してお客様満足と社会貢献を目指しております。,http://www.eletech-inc.co.jp,製造,基板設計開発・基板加工・組立組込み&電子電気機器販売卸業をしております。 開発から試作、完成品調達検査・量産サポート体制を充実させ完成品までのEMS企業を目指しております。半導体電子コンポ―ネント・オプトエレクトロニクス・LCDパネル・駆動関連機器の販売を通して提案活動を展開しております。,各種計測器・医療器など
67,有限会社円行電設,company_info.html?id=453,横浜市泉区和泉が丘1-13-23,電気工事・ガス,,http://www.engyo-densetsu.co.jp,電気工事・ガス,電気工事・ガス,
68,株式会社エンタープライズサービス,company_info.html?id=76,横浜市港南区大久保1-4-15,サービス,,http://www.ep-service.jp,サービス,財務に関する書類の作成 記帳代行,
69,株式会社オウミ,company_info.html?id=193,横浜市都筑区東山田4-33-17,製造,自動車部品の他に、自社製品開発として、鉄やステンレスを使用したプランターや、雑貨製品の製作なども行っております。,http://www.kk-oumi.co.jp,製造,自動車・トラック部品(足回り部品)の試作・量産を行っております。 プレス加工、レーザ加工、及びアセンブリまで一貫製作を行い、生産に必要な金型、治工具を短期間ですべて自社で製造しております。,中学生の職場体験や、小学生や地域住民の工場見学の受け入れなどを積極的に行っております。また、ガーデンネックレスにてプランターの展示などにも参加致しました。
70,大江電機株式会社,company_info.html?id=252,横浜市南区前里町1-9,小売り・卸,,https://ohe.jp,小売り・卸,制御機器電設資材卸売業,
