cid,datahead,dataurl,creator,contributor
468,   【港北区】公共施設等       PDF   xlsx   CSV   ,/dataset/kohoku_shisetsu,区政推進課,区政推進課
469,   【港北区】避難場所       xlsx   CSV   ,/dataset/kohoku_hinan,区政推進課,区政推進課
470,   横浜市中期４か年計画2014～2017       PDF   ,/dataset/seisaku_chuki2014-,政策課,政策課
471,   【港北区】その他の施設等       xlsx   CSV   ,/dataset/kohoku_sonota,区政推進課,区政推進課
472,   【港北区】保育所・子どもの遊び場等       xlsx   CSV   ,/dataset/kohoku_kodomo,区政推進課,区政推進課
473,   広報よこはま瀬谷区版2020（令和２）年８月号       TXT   ,/dataset/seya_seya2020_8,区政推進課,区政推進課
474,   令和元年度市立学校現況       ZIP   ,/dataset/kyoiku_r1genkyo,教育政策推進課,教育政策推進課
475,   工場立地法オープンデータ       CSV   ,/dataset/keizai_rittiopendata,企業誘致・立地課,企業誘致・立地課
476,   横浜市都市計画マスタープラン鶴見区プラン（オープンデータ）       xlsx   ,/dataset/tsurumi_tsurumiplan_opendata,区政推進課,区政推進課
477,   平成26年度市民意識調査       xlsx   ZIP   ,/dataset/seisaku_ishiki2014,政策課,政策課
478,   広報よこはま瀬谷区版2020（令和２）年３月号       TXT   ,/dataset/seya_seya2020_3,区政推進課,区政推進課
479,   平成25年(2013)　外国人の人口       xlsx   ,/dataset/gaikokujin_h25gaikokujin,統計情報課,統計情報課
480,   広報よこはま瀬谷区版令和元年12月号       TXT   ,/dataset/seya_seya2019_12,区政推進課,区政推進課
481,   広報よこはま瀬谷区版2020（令和２）年１月号       TXT   ,/dataset/seya_seya2020_1,区政推進課,区政推進課
482,   平成２７年 市場年報       XLS   xlsx   ,/dataset/keizai_201500,運営調整課,運営調整課
483,   2019（平成31）年分       PDF   ZIP   ,/dataset/tsuzuki_h31tzkoho,区政推進課,区政推進課
484,   今月の広報よこはま瀬谷区版     ,/dataset/koho_seya_kongetukoho,区政推進課,区政推進課
485,   広報よこはま瀬谷区版令和元年11月号       TXT   ,/dataset/seya_seya2019_11,区政推進課,区政推進課
486,   広報よこはま瀬谷区版令和元年10月号       TXT   ,/dataset/seya_seya2019_10,区政推進課,区政推進課
487,   広報よこはま瀬谷区版令和元年９月号       TXT   ,/dataset/seya_seya2019_09,区政推進課,区政推進課
488,   広報よこはま瀬谷区版令和元年８月号       TXT   ,/dataset/seya_koyoko2019_08,区政推進課,区政推進課
489,   広報よこはま瀬谷区版令和元年７月号       TXT   ,/dataset/seya_seya2019_07,区政推進課,区政推進課
490,   2017（平成29）年分       PDF   ZIP   ,/dataset/tsuzuki_h29tzkoho,区政推進課,区政推進課
491,   オープンデータ    中区役所窓口混雑情報    PDF   ,/dataset/naka_opendate,戸籍課,戸籍課
492,   広報よこはま瀬谷区版令和元年５月号       TXT   ,/dataset/seya_koyoko3105,区政推進課,区政推進課
493,   広報よこはま瀬谷区版平成31年４月号       TXT   ,/dataset/seya_koyoko3104,区政推進課,区政推進課
494,   防災関連データ       ZIP   XML   CSV   ,/dataset/somu_data,地域防災課,地域防災課
495,   ごみと資源の総量のオープンデータ       CSV   ,/dataset/shigen_gaiyo_open_deta,政策調整課,政策調整課
496,   2018（平成30）年分       PDF   ZIP   ,/dataset/tsuzuki_h30tzkoho,区政推進課,区政推進課
497,   広報よこはま瀬谷区版平成31年２月号       TXT   ,/dataset/seya_koyoko3102,区政推進課,区政推進課
498,   様々なまちなみ       ZIP   ,/dataset/totsuka_c03-03-other01,区政推進課,区政推進課
499,   施設       ZIP   ,/dataset/totsuka_c03-04-build01,区政推進課,区政推進課
500,   旧東街道       ZIP   ,/dataset/totsuka_c02-01-tokaido01,区政推進課,区政推進課
501,   様々な歴史資源       ZIP   ,/dataset/totsuka_c02-02-other01,区政推進課,区政推進課
502,   富士山       ZIP   ,/dataset/totsuka_c04-01-mt_fuji01,区政推進課,区政推進課
503,   下倉田の大わらじ       ZIP   ,/dataset/totsuka_c05-05-warazi01,区政推進課,区政推進課
504,   公園・緑地       ZIP   ,/dataset/totsuka_c01-01-park01,区政推進課,区政推進課
505,   植物・その他自然       ZIP   ,/dataset/totsuka_c01-05-other01,区政推進課,区政推進課
506,   まつり・他       ZIP   ,/dataset/totsuka_c03-05-event01,区政推進課,区政推進課
507,   川       ZIP   ,/dataset/totsuka_c01-03-riv01,区政推進課,区政推進課
508,   桜-開花-       ZIP   ,/dataset/totsuka_c01-02-sakura01,区政推進課,区政推進課
509,   広報よこはま瀬谷区版平成30年９月号       TXT   ,/dataset/seya_koyoko3009,区政推進課,区政推進課
510,   広報よこはま瀬谷区版平成31年３月号       TXT   ,/dataset/seya_koyoko3103,区政推進課,区政推進課
511,   広報よこはま瀬谷区版平成31年１月号       TXT   ,/dataset/seya_koyoko3101,区政推進課,区政推進課
512,   広報よこはま瀬谷区版平成30年６月号       TXT   ,/dataset/seya_koyoko3006,区政推進課,区政推進課
513,   広報よこはま瀬谷区版平成30年11月号       TXT   ,/dataset/seya_koyoko3011,区政推進課,区政推進課
514,   雪景色       ZIP   ,/dataset/totsuka_c04-03-snow01,区政推進課,区政推進課
515,   まさかりが淵市民の森       ZIP   ,/dataset/totsuka_c05-04-masakari01,区政推進課,区政推進課
516,   航空撮影　ページ１       ZIP   ,/dataset/totsuka_c04-02-sky01,区政推進課,区政推進課
517,   舞岡公園       ZIP   ,/dataset/totsuka_c05-03-maioka01,区政推進課,区政推進課
518,   柏尾川の桜       ZIP   ,/dataset/totsuka_c05-02-kashio-riv-sakura01,区政推進課,区政推進課
519,   動物       ZIP   ,/dataset/totsuka_c01-04-animal,区政推進課,区政推進課
520,   東戸塚駅周辺のまちなみ       ZIP   ,/dataset/totsuka_c03-02-etotsuka01,区政推進課,区政推進課
521,   柏尾川       ZIP   ,/dataset/totsuka_c05-01-kashio-riv01,区政推進課,区政推進課
522,   戸塚駅周辺のまちなみ       ZIP   ,/dataset/totsuka_c03-01-totsuka01,区政推進課,区政推進課
523,   広報よこはま瀬谷区版平成30年５月号       TXT   ,/dataset/seya_koyoko3005,区政推進課,区政推進課
524,   広報よこはま瀬谷区版平成30年７月号       TXT   ,/dataset/seya_koyoko3007,区政推進課,区政推進課
525,   広報よこはま瀬谷区版平成30年８月号       TXT   ,/dataset/seya_koyoko3008,区政推進課,区政推進課
526,   広報よこはま瀬谷区版平成30年12月号       TXT   ,/dataset/seya_koyoko3012,区政推進課,区政推進課
527,   広報よこはま瀬谷区版平成30年10月号       TXT   ,/dataset/seya_koyoko3010,区政推進課,区政推進課
528,   救急需要予測（横浜市立大学との共同研究）    横浜市消防局と横浜市立大学との共同研究（救急需要予測）の結果を公開します。    CSV   ,/dataset/shobo_20171206,救急課,救急課
529,   横浜市中期４か年計画2018～2021　数値データ       xlsx   CSV   ,/dataset/seisaku_opendata,政策課,政策課
530,   平成29年度　データで見る商店街事業　商店街商圏データ       xlsx   PDF   ,/dataset/keizai_shogyocyosa,商業振興課,商業振興課
531,   平成24年度　商店街実態調査　 数値データ       CSV   ,/dataset/keizai_20151007152946,商業振興課,商業振興課
532,   平成２８年 市場年報       XLS   ,/dataset/keizai_201600,運営調整課,運営調整課
533,   平成２８年１１月 市場月報       XLS   ,/dataset/keizai_201611,運営調整課,運営調整課
534,   平成２９年５月 市場月報       XLS   ,/dataset/keizai_201705,運営調整課,運営調整課
535,   平成２９年４月 市場月報       XLS   ,/dataset/keizai_201704,運営調整課,運営調整課
536,   平成２９年７月 市場月報       XLS   ,/dataset/keizai_201707,運営調整課,運営調整課
537,   平成２６年 市場年報       XLS   ,/dataset/keizai_201400,運営調整課,運営調整課
538,   平成２９年２月 市場月報       XLS   ,/dataset/keizai_201702,運営調整課,運営調整課
539,   平成２９年３月 市場月報       XLS   ,/dataset/keizai_201703,運営調整課,運営調整課
540,   平成２９年１月 市場月報       XLS   ,/dataset/keizai_201701,運営調整課,運営調整課
541,   平成２８年１２月 市場月報       XLS   ,/dataset/keizai_201612,運営調整課,運営調整課
542,   平成２８年１０月 市場月報       XLS   ,/dataset/keizai_201610,運営調整課,運営調整課
543,   平成２８年９月 市場月報       XLS   ,/dataset/keizai_201609,運営調整課,運営調整課
544,   平成２８年８月 市場月報       XLS   ,/dataset/keizai_201608,運営調整課,運営調整課
